,id,name,artist,album_name,popularity,duration_sec,explicit,album_release_date,album_type,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0,37BZB0z9T8Xu7U3e65qxFy,Save Your Tears (with Ariana Grande) (Remix),The Weeknd,Save Your Tears (Remix),91,191.0,False,2021-04-23,single,0.65,0.825,0,-4.645,1,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091,4
1,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,The Weeknd,After Hours,91,200.0,False,2020-03-20,album,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,4
2,6M3PsepEj5gyJoIi7Xvr7u,Take My Breath,The Weeknd,Take My Breath,82,220.2,False,2021-08-05,single,0.747,0.739,8,-6.008,1,0.0487,0.0106,2.22e-05,0.101,0.523,120.996,4
3,5QO79kh1waicV47BqGRL3g,Save Your Tears,The Weeknd,After Hours,86,215.6,True,2020-03-20,album,0.68,0.826,0,-5.487,1,0.0309,0.0212,1.24e-05,0.543,0.644,118.051,4
4,0k4d5YPDr1r7FX77VdqWez,You Right,The Weeknd,Planet Her,85,186.2,True,2021-06-25,album,0.828,0.621,8,-6.414,1,0.0565,0.0164,0.00233,0.0845,0.436,128.986,4
5,7fBv7CLKzipRk6EC6TWHOB,The Hills,The Weeknd,Beauty Behind The Madness,83,242.3,True,2015-08-28,album,0.585,0.564,0,-7.063,0,0.0515,0.0671,0.0,0.135,0.137,113.003,4
6,7MXVkk9YMctZqd1Srtv4MB,Starboy,The Weeknd,Starboy,82,230.5,True,2016-11-25,album,0.679,0.587,7,-7.015,1,0.276,0.141,6.35e-06,0.137,0.486,186.003,4
7,7szuecWAPwGoV1e5vGu8tl,In Your Eyes,The Weeknd,After Hours,80,237.5,True,2020-03-20,album,0.667,0.719,7,-5.371,0,0.0346,0.00285,8.1e-05,0.0736,0.717,100.021,4
8,09mEdoA6zrmBPgTEN5qXmN,Call Out My Name,The Weeknd,"My Dear Melancholy,",80,228.4,False,2018-03-30,album,0.461,0.593,1,-4.954,1,0.0356,0.17,0.0,0.307,0.175,134.17,3
9,2LBqCSwhJGcFQeTHMVGwy3,Die For You,The Weeknd,Starboy,69,260.3,False,2016-11-24,album,0.586,0.525,1,-7.163,0,0.0615,0.111,0.0,0.134,0.508,133.629,4
10,0RbW8kWozrVSIGb4V13o0o,Hurricane,Kanye West,Donda,92,243.2,False,2021-08-29,album,0.587,0.561,0,-6.569,1,0.146,0.0466,0.0,0.109,0.351,80.009,4
11,2gbMPBrBVj3CuNTLp2dHYs,Off The Grid,Kanye West,Donda,88,339.2,False,2021-08-29,album,0.546,0.64,8,-5.582,1,0.37,0.0438,0.0,0.137,0.63,137.728,4
12,2Rd4eJ4KwXQQn2sMSToyUM,Moon,Kanye West,Donda,88,156.1,False,2021-08-29,album,0.319,0.236,5,-9.644,1,0.0318,0.898,1.62e-05,0.272,0.254,162.351,4
13,42ZrMq4BKsWDrrbMnMRYaK,Jail,Kanye West,Donda,86,297.0,False,2021-08-29,album,0.458,0.571,4,-6.739,1,0.0949,0.535,0.000305,0.0846,0.586,110.013,4
14,0Zm7NKJgoKY6ZWwtoEUILK,Praise God,Kanye West,Donda,85,226.7,False,2021-08-29,album,0.798,0.545,1,-6.466,1,0.168,0.00904,9.48e-05,0.258,0.212,118.029,4
15,73uxnSsFMeJ15POpd3zgrV,Believe What I Say,Kanye West,Donda,84,242.4,False,2021-08-29,album,0.595,0.656,7,-7.868,1,0.247,0.148,0.0,0.47,0.416,99.811,4
16,3gWzTnziivUYzqXtnvgN8q,Jonah,Kanye West,Donda,82,195.2,False,2021-08-29,album,0.459,0.431,9,-8.375,0,0.256,0.795,0.0,0.274,0.128,177.3,4
17,3onYsG7nB3FwEVHYYWCrIM,No Child Left Behind,Kanye West,Donda,82,178.1,False,2021-08-29,album,0.161,0.327,1,-8.059,0,0.0341,0.00632,0.792,0.138,0.0815,135.382,3
18,2ZUJsR8HEktit58X6FuPQM,Heaven and Hell,Kanye West,Donda,82,145.3,False,2021-08-29,album,0.764,0.422,0,-7.265,0,0.119,0.0409,0.0,0.152,0.268,82.986,4
19,4VYEnxm7lmtG5sEEbcmORB,Ok Ok,Kanye West,Donda,82,204.6,False,2021-08-29,album,0.738,0.471,11,-9.208,0,0.402,0.319,1.28e-06,0.13,0.283,107.98,5
20,40iJIUlhi6renaREYGeIDS,Fair Trade (with Travis Scott),Drake,Certified Lover Boy,93,291.2,True,2021-09-03,album,0.666,0.465,1,-8.545,1,0.26,0.0503,0.0,0.215,0.292,167.937,4
21,0k1WUmIRnG3xU6fvvDVfRG,Way 2 Sexy (with Future & Young Thug),Drake,Certified Lover Boy,92,257.6,True,2021-09-03,album,0.803,0.597,11,-6.035,0,0.141,0.000619,4.5e-06,0.323,0.331,136.008,4
22,37Nqx7iavZpotJSDXZWbJ3,Girls Want Girls (with Lil Baby),Drake,Certified Lover Boy,92,222.0,True,2021-09-03,album,0.767,0.438,7,-8.726,0,0.29,0.181,0.0,0.142,0.381,86.975,4
23,2BcMwX1MPV6ZHP4tUT9uq6,Knife Talk (with 21 Savage ft. Project Pat),Drake,Certified Lover Boy,90,243.0,True,2021-09-03,album,0.849,0.424,5,-9.579,0,0.324,0.0635,0.0,0.0834,0.153,145.887,4
24,2HSmyk2qMN8WQjuGhaQgCk,Champagne Poetry,Drake,Certified Lover Boy,89,336.5,True,2021-09-03,album,0.423,0.667,6,-7.012,0,0.326,0.758,0.0,0.246,0.496,86.743,4
25,2tUL6dZf1mywCj5WvCPZw6,No Friends In The Industry,Drake,Certified Lover Boy,87,204.3,True,2021-09-03,album,0.84,0.744,1,-4.751,1,0.113,0.0181,0.0,0.629,0.171,83.737,4
26,4s7QLoImIwmPi9L6dq1nVW,TSU,Drake,Certified Lover Boy,86,308.8,True,2021-09-03,album,0.568,0.56,9,-9.059,1,0.42,0.228,3.05e-06,0.39,0.246,130.019,4
27,6jy9yJfgCsMHdu2Oz4BGKX,Papi’s Home,Drake,Certified Lover Boy,86,178.6,True,2021-09-03,album,0.701,0.741,2,-6.157,1,0.313,0.112,0.0,0.699,0.588,140.177,4
28,61S79KIVA4I9FXbnsylEHT,In The Bible (with Lil Durk & Giveon),Drake,Certified Lover Boy,86,296.6,True,2021-09-03,album,0.686,0.385,7,-8.35,0,0.297,0.614,0.0,0.131,0.147,143.07,4
29,4VCbgIdr8ptegWeJpqLVHH,Love All (with JAY-Z),Drake,Certified Lover Boy,86,228.5,True,2021-09-03,album,0.73,0.576,2,-5.442,1,0.287,0.354,3.59e-05,0.15,0.155,92.131,4
30,4TIqzdAssasqx3DAe6cG9J,Ramen & OJ,Joyner,Ramen & OJ,78,218.4,True,2021-04-30,single,0.597,0.571,1,-6.205,0,0.293,0.492,0.0,0.093,0.165,106.196,3
31,5ChX0Yt1wPpRJFPPecJZPh,Dreams Unfold,Joyner,Dreams Unfold,77,201.1,True,2021-08-25,single,0.869,0.62,9,-5.308,1,0.191,0.36,0.0,0.103,0.961,148.041,4
32,4h7qcXBtaOJnmrapxoWxGf,Isis (feat. Logic),Joyner,ADHD,71,236.5,True,2020-03-27,album,0.884,0.936,1,-3.931,1,0.167,0.206,0.0,0.262,0.758,120.004,4
33,30z4LVkScpeNhwHFIB8Ewa,I Love,Joyner,I Love,67,210.2,True,2018-10-17,single,0.671,0.565,11,-7.401,0,0.16,0.274,6.51e-05,0.37,0.561,150.014,4
34,7g9DNzAU2QP88rE4BgIJpp,Zim Zimma,Joyner,Evolution,66,239.7,True,2020-10-23,album,0.883,0.621,11,-6.063,0,0.212,0.0871,0.0,0.499,0.676,149.052,4
35,4X4v3KtkUXwXvDBw5KS9cp,ADHD,Joyner,ADHD,66,205.9,True,2020-03-27,album,0.563,0.78,10,-6.663,1,0.0782,0.00525,8.16e-06,0.418,0.317,83.913,4
36,6WI33r2QRxyxttn3KH0XkC,Will - Remix,Joyner,Will (Remix),63,164.5,False,2020-05-15,single,0.766,0.579,9,-8.426,0,0.287,0.107,0.000642,0.143,0.217,142.932,4
