artist,explicit,popularity,duration_sec,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
20syl,0.1,41.5,214.09,0.6628000000000001,0.6197,3.9,-7.8573,0.4,0.24259,0.17787999999999998,0.089242732,0.17059,0.5553,105.0048,4.0
2pac,1.0,77.1,277.37,0.8102,0.6924,5.0,-6.2682,0.8,0.18134,0.097199,0.000569155,0.20875,0.6268,100.6579,4.0
50 Cent,1.0,73.2,223.69,0.7232999999999999,0.7115,7.3,-4.6907,0.3,0.3085,0.13979999999999998,0.0008026800000000001,0.21267,0.6992,101.1586,4.2
6LACK,0.7,73.4,211.53000000000003,0.6523,0.5700000000000001,4.1,-7.7018,0.5,0.13638,0.41227,0.00153841,0.17879,0.4264,120.4309,4.1
A$AP Rocky,1.0,78.1,201.65,0.7234,0.5474,4.7,-8.5909,0.8,0.20727,0.22135600000000002,0.021539198000000002,0.15832,0.48702000000000006,123.47970000000001,4.0
ABBA,0.0,75.5,260.68,0.6274,0.7202,6.2,-7.389,0.8,0.035250000000000004,0.3262,0.001620625,0.28741,0.716,120.1383,4.0
AC/DC,0.0,79.1,260.6,0.5189,0.8506,5.7,-4.7232,0.7,0.10189,0.058157400000000005,0.0185001,0.20841000000000004,0.5154,132.9181,4.0
AURORA,0.0,63.3,200.14000000000001,0.5254,0.5549000000000001,7.1,-7.3988,0.5,0.0687,0.370687,0.005876744000000001,0.18624000000000002,0.3109,133.8256,4.0
Alec Benjamin,0.0,75.5,178.43,0.6655,0.5656,5.5,-6.0758,0.6,0.09573000000000001,0.6038,0.00011163700000000002,0.1948,0.5907,130.0741,4.0
Alicia Keys,0.1,77.1,230.73000000000002,0.5690999999999999,0.5722,5.8,-6.570099999999999,0.5,0.09589,0.34348999999999996,0.00021239099999999998,0.17942,0.3479,101.3775,3.8
Anson Seabra,0.1,68.2,219.73000000000002,0.5913,0.19034,5.7,-13.864500000000001,0.9,0.07564,0.8881,3.856e-06,0.14406,0.3136,100.64189999999999,3.9
Ariana Grande,0.6,85.0,191.82,0.6893,0.6352,2.1,-5.9595,0.6,0.09234,0.24819,8.439999999999999e-06,0.18888,0.4889,134.1685,3.9
Avicii,0.1,79.0,205.60999999999999,0.6047,0.7849999999999999,4.4,-5.1707,0.5,0.04749,0.093713,0.083908872,0.14606999999999998,0.45940000000000003,121.6129,4.0
Backstreet Boys,0.0,67.8,237.81,0.6662,0.7823,6.2,-4.8244,0.4,0.03304,0.14174899999999999,1.7646e-05,0.19208,0.5809,116.1076,4.0
Bastille,0.0,67.3,189.01,0.6713,0.8240000000000001,6.5,-4.5033,0.7,0.08171999999999999,0.1497,2.2499999999999998e-05,0.18273,0.6041000000000001,113.14829999999999,4.0
Beyonce,0.3,74.8,255.10999999999999,0.6346,0.6521,6.1,-6.3959,0.4,0.15736,0.122936,0.007368835,0.22027999999999998,0.5375,125.48230000000001,3.9
Billie Eilish,0.2,84.7,216.3,0.4782,0.31120000000000003,3.9,-11.1367,0.7,0.08385000000000001,0.73598,0.08555417000000001,0.11123000000000001,0.2183,126.82509999999999,3.7
Black Eyed Peas,0.4,71.9,252.63000000000002,0.7941,0.7147,4.6,-6.468000000000001,0.5,0.10845,0.083364,0.002691467,0.34404,0.5069,119.19450000000002,4.0
Bob Marley,0.0,74.6,253.92,0.7948999999999999,0.5064,7.0,-9.9249,0.8,0.17294,0.23336,0.034383733,0.13857999999999998,0.7562,111.68209999999999,4.0
Bon Jovi,0.0,76.5,295.55,0.442,0.7758,3.8,-4.7206,0.7,0.03867,0.103935,0.001484885,0.20290999999999998,0.4664,129.7724,3.9
Britney Spears,0.1,79.3,216.38000000000002,0.7534,0.7696,4.6,-5.3984000000000005,0.5,0.07828,0.162297,0.00275677,0.17326,0.7551,118.7461,4.0
Bruno Mars,0.1,83.2,215.88000000000002,0.6933,0.6256,2.7,-6.1202,0.7,0.04544,0.19794,7.24e-06,0.16882999999999998,0.5997399999999999,116.9292,4.0
Camila Cabello,0.0,79.4,202.2,0.7174,0.6723,5.1,-5.1589,0.6,0.06783,0.13529,6.910799999999999e-05,0.10971,0.5032,113.18610000000001,4.0
Cardi B,0.8,79.2,201.0,0.837,0.6625,6.1,-6.0628,0.3,0.16631,0.05764400000000001,0.00193,0.15547,0.5696,125.63289999999999,4.0
Christian French,0.3,63.6,188.85999999999999,0.6503,0.6242,6.6,-6.178800000000001,0.5,0.07516,0.24244300000000002,3.229e-06,0.19885,0.6237,127.28309999999999,4.0
Closed on Sunday,0.0,54.1,86.75,0.6773,0.3467,3.4,-11.761199999999999,0.3,0.17977,0.9118999999999999,0.8002,0.1406,0.33311,112.47529999999999,3.9
Coldplay,0.0,85.3,261.96999999999997,0.4727,0.5704,4.8,-7.3571,0.6,0.03077,0.20700599999999997,0.005587765,0.17793,0.29059999999999997,126.11120000000001,3.9
David Bowie,0.0,73.9,289.16999999999996,0.4997,0.5828,5.9,-10.8328,0.8,0.04431,0.1697121,0.052914313000000004,0.17634,0.5381,123.3344,4.0
Dean Lewis,0.1,69.2,204.35999999999999,0.6102000000000001,0.5729,7.8,-7.3210999999999995,0.8,0.04899,0.611,3.5990000000000006e-06,0.1395,0.4413,111.7394,4.1
Dempsey Hope,0.3,43.1,154.60999999999999,0.6231,0.5542,6.4,-8.7532,0.7,0.08297,0.11799319999999999,0.0,0.14889,0.5981,119.3271,4.0
Denzel Curry,0.9,68.3,199.79000000000002,0.6797,0.6503,7.2,-7.037999999999999,0.4,0.18556999999999998,0.13682,2.2802e-05,0.15499000000000002,0.5389999999999999,121.58689999999999,4.0
Dj Snake,0.2,77.4,203.13,0.6707,0.7647999999999999,5.7,-4.5761,0.4,0.10612999999999999,0.05996900000000001,0.013463254999999999,0.15849,0.31175,121.6096,4.0
Dr. Dre,1.0,80.2,237.54000000000002,0.7753,0.8268000000000001,7.4,-4.0145,0.6,0.23704,0.09612499999999999,3.44e-05,0.18529,0.6173,112.43199999999999,4.0
Drake,0.9,86.1,228.25,0.7742,0.4774,4.9,-8.3611,0.6,0.21671999999999997,0.0933679,0.008692426999999999,0.20874,0.3432,121.98620000000001,4.0
Duncan Laurence,0.0,58.2,173.91,0.5025999999999999,0.4761,4.3,-9.034,0.5,0.049519999999999995,0.5316799999999999,0.0011561269999999998,0.10441,0.43010000000000004,105.48150000000001,3.5
Ed Sheeran,0.1,84.8,229.32,0.6940000000000001,0.5636,4.4,-5.8944,0.6,0.06411,0.41856299999999996,0.0001204,0.15043,0.5281,115.25899999999999,3.9
Ellie Goulding,0.1,73.3,217.84,0.5549999999999999,0.6738,3.4,-6.1388,0.7,0.045989999999999996,0.27381,6.291900000000001e-05,0.17359,0.4258,122.1126,4.1
Elton John,0.0,78.7,258.99,0.6171,0.6326,4.1,-8.3898,0.9,0.04726,0.31469,0.012458013,0.14232,0.5696,131.4712,4.0
Elvis Presley,0.0,67.5,174.16,0.4883,0.5403,6.0,-11.0557,0.7,0.050050000000000004,0.5053654,0.04458294,0.20562999999999998,0.7088,127.9914,3.9
Eminem,1.0,86.1,289.87,0.7916000000000001,0.8025,4.9,-3.7783,0.6,0.2191,0.15560400000000002,4.3734e-05,0.3223,0.5508200000000001,127.2415,4.1
Frank Ocean,0.6,81.1,224.86999999999998,0.6475,0.42756,4.7,-9.2913,0.7,0.10156000000000001,0.55496,0.066484971,0.18563000000000002,0.39353,119.9102,3.9
Glass Animals,0.3,74.4,242.39000000000001,0.6743,0.5753999999999999,8.5,-7.616,0.5,0.06582,0.29445,0.02228445,0.20095000000000002,0.568,126.179,4.0
Green Day,0.4,77.0,250.85999999999999,0.43500000000000005,0.8187,6.1,-4.2528999999999995,0.9,0.039279999999999995,0.02848194,0.0011719259999999998,0.28784,0.5931,129.8186,4.0
Halsey,0.5,80.2,191.66,0.6419,0.6469,4.7,-6.1960999999999995,0.7,0.07725,0.16859688,0.000860911,0.15857,0.4958,100.89,4.0
Hopsin,1.0,60.1,252.8,0.7247,0.7102999999999999,3.8,-7.912699999999999,0.6,0.3115,0.35819999999999996,1.029e-06,0.16611,0.5451,117.96279999999999,4.0
Hozier,0.0,72.6,211.1,0.5304,0.5432,7.5,-7.4263,0.6,0.05184,0.40776700000000005,0.039552804000000004,0.20248,0.4448,115.6855,3.9
Imagine Dragons,0.1,82.8,199.52,0.6045,0.7313,6.4,-4.7,0.6,0.12479,0.142931,0.013435800000000001,0.32942,0.42907,125.5048,4.0
